No,category,problem,group,article_no,article_link,title,authors,publish_date,image_url,Institution_name,Supplier_name,Item,Date_order,Date_payments,Unit_price,Quantity,UOM,order_num,pay_num
39264,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Nembs Projects,PPE021 Sanitising of buildings,,2020-08-10,2.00,270000,Other UOM,,
39265,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Nozipho Holdings,PPE021 Sanitising of buildings,,2020-08-10,4.00,270000,Other UOM,,
39266,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Renhlakanipho Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,270000,Other UOM,,
39267,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Ronbus Trading And Projects,PPE021 Sanitising of buildings,,2020-08-10,9.00,270000,Other UOM,,
39268,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Kalako Developers Civil And Secu,PPE021 Sanitising of buildings,,2020-09-10,4.00,270000,Other UOM,,
39269,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Limgroup Consulting Services,PPE021 Sanitising of buildings,,2020-09-10,3.00,270000,Other UOM,,
39270,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Limgroup Direct Energy,PPE021 Sanitising of buildings,,2020-09-10,4.00,270000,Other UOM,,
39271,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Eavesdrop Trading 12,PPE021 Sanitising of buildings,,2020-10-14,1.00,270000,Other UOM,,
39272,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Pmr Developers And Projects Mana,PPE021 Sanitising of buildings,,2020-10-14,18.00,270000,Other UOM,,
39273,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Vic Leo Trading,PPE021 Sanitising of buildings,,2020-10-14,1.00,270000,Other UOM,,
39274,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Kmm Travels,PPE021 Sanitising of buildings,,2020-11-19,1.00,270000,Other UOM,,
39275,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Meltin Properties 42,PPE021 Sanitising of buildings,,2020-11-19,1.00,270000,Other UOM,,
39276,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Abaphumeleli Trading 101,PPE021 Sanitising of buildings,,2020-10-21,1.00,270000,Other UOM,,
39277,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mapheceka Construction And Proje,PPE021 Sanitising of buildings,,2020-10-21,105.00,270000,Other UOM,,
39278,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Dikeledi Enterprise Bookshop And,PPE021 Sanitising of buildings,,2020-10-28,2.00,270000,Other UOM,,
39279,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Ikatliseng Solutions (Pty) Ltd,PPE021 Sanitising of buildings,,2020-10-28,1.00,270000,Other UOM,,
39280,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Tona Trading Enterprise,PPE021 Sanitising of buildings,,2020-10-28,2.00,270000,Other UOM,,
39281,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Muta Investment Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,271900,Other UOM,,
39282,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Kmm Travels,PPE021 Sanitising of buildings,,2020-11-19,2.00,273000,Other UOM,,
39283,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Mpale Investments Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,273526,Other UOM,,
39284,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Chosen Multipurpose,PPE021 Sanitising of buildings,,2020-08-10,1.00,274900,Other UOM,,
39285,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Muta Investment Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,274900,Other UOM,,
39286,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Chosen Multipurpose,PPE021 Sanitising of buildings,,2020-08-10,1.00,275000,Other UOM,,
39287,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,The Light Cleaning Service,PPE021 Sanitising of buildings,,2020-08-10,1.00,275000,Other UOM,,
39288,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Limgroup Consulting Services,PPE021 Sanitising of buildings,,2020-09-10,2.00,275000,Other UOM,,
39289,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Limgroup Direct Energy,PPE021 Sanitising of buildings,,2020-09-10,3.00,275000,Other UOM,,
39290,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Kmm Travels,PPE021 Sanitising of buildings,,2020-11-19,1.00,275000,Other UOM,,
39291,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Meltin Properties 42,PPE021 Sanitising of buildings,,2020-11-19,1.00,275000,Other UOM,,
39292,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Maboho Consulting,PPE021 Sanitising of buildings,,2020-10-21,1.00,275000,Other UOM,,
39293,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Education,Desteny Child Trading And Projec,PPE021 Sanitising of buildings,,2020-10-28,1.00,275000,Other UOM,,
